Bankleitzahl;IstDirekthandelsplatz;Anlegertyp;WertpapierKategorieCode;WertpapierKategorieBezeichnung;Die fünf Handelsplätze, die ausgehend vom Handelsvolumen am wichtigsten sind (in absteigender Reihenfolge nach Handelsvolumen);Anteil des Handelsvolumens als Prozentsatz des gesamten Volumens in dieser Kategorie;Anteil der ausgeführten Aufträge als Prozentsatz aller Aufträge in dieser Kategorie;Prozentsatz passiver Aufträge;Prozentsatz aggressiver Aufträge;Prozentsatz gelenkter Aufträge;Angabe, ob im Vorjahr im Durchschnitt < 1 Handelsgeschäft pro Geschäftstag ausgeführt wurde;AUSF_PRO_TAG_TEXT
39000;0;Kleinanleger;BP1;Börsengehandelte Produkte (ETP);XETRA-Frankfurt - XETR; 75,9%; 75,5%; 63,07%;  3,98%; 50,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;BP1;Börsengehandelte Produkte (ETP);Frankfurt - XFRA;  6,9%;  7,7%;  0,00%;  0,00%; 16,67%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;BP1;Börsengehandelte Produkte (ETP);London Stock Exchange (LSE) - XLON;  6,4%;  4,3%;  0,00%;  0,00%; 30,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;BP1;Börsengehandelte Produkte (ETP);BORSA ITALIANA - XMIL;  3,0%;  1,7%;  0,00%;  0,00%;100,00%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;BP1;Börsengehandelte Produkte (ETP);Stuttgart - XSTU;  2,6%;  4,7%;  0,00%;  0,00%; 81,82%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK1;Eigenk. - Liquiditätsbänder 5 und 6;XETRA-Frankfurt - XETR; 69,7%; 57,1%; 58,14%; 33,44%; 13,68%;Nein;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK1;Eigenk. - Liquiditätsbänder 5 und 6;WIENER BOERSE - XVIE; 13,8%; 22,9%; 64,83%; 27,33%;  1,17%;Nein;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK1;Eigenk. - Liquiditätsbänder 5 und 6;Frankfurt - XFRA;  5,2%;  7,4%;  0,00%;  0,00%; 75,38%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK1;Eigenk. - Liquiditätsbänder 5 und 6;Stuttgart - XSTU;  4,5%;  2,7%;  0,00%;  0,00%; 91,55%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
39000;0;Kleinanleger;EK1;Eigenk. - Liquiditätsbänder 5 und 6;NEW YORK STOCK EXCHANGE (NYSE) - XNYS;  3,2%;  3,9%;  0,00%;  0,00%; 10,68%;Ja;Angabe, ob im Vorjahr im Durchschnitt <1 Handelsgeschäft pro Geschäftstag ausgeführt wurde
